,pk,user_id,text,type,created_at,created_at_utc,content_type,status,bit_flags,did_report_as_spam,share_enabled,user,is_covered,has_liked_comment,comment_like_count,child_comment_count,preview_child_comments,other_preview_users,inline_composer_display_condition,private_reply_status,has_translation,num_tail_child_comments,has_more_tail_child_comments,has_more_head_child_comments
0,18121677310059233,24908159587,OH,0,1577674080,1577674080,comment,Active,0,False,False,"{'pk': 24908159587, 'username': 'heavens.vacancy', 'full_name': 'cilantro', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/261540071_427128475759624_5107278510185189225_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Kem9ByF0cVgAX93hGYm&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_heN5wHl9xR4wRIRpKiN6imoztzLKFo33Wcxm5ILPEJQ&oe=62BA7A63&_nc_sid=705020', 'profile_pic_id': '2718702079516225559_24908159587', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
1,17859556558635648,338925295,Putting the green in greenhouse gases,0,1577399464,1577399464,comment,Active,0,False,False,"{'pk': 338925295, 'username': 'jsweit', 'full_name': 'Joe Sweitzer', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/66467614_3092221280818388_5350031535590342656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=6Kp4Y1IGW5IAX8aQCRW&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-r_3WKHn-ebQUiMTS3Dg0ReZ5PDbeI8UxA2lvyWEKxeQ&oe=62BA5B5F&_nc_sid=705020', 'profile_pic_id': '2081096186959074103_338925295', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
2,17907317266380179,22256825019,Hsb,0,1577263710,1577263710,comment,Active,0,False,False,"{'pk': 22256825019, 'username': 'marcela36311', 'full_name': 'marcela363', 'is_private': False, 'profile_pic_url': 'https://instagram.fcia3-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fcia3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ZL-zZ62NrpYAX9UnEB-&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AT_fY2LQea4EUzvuhykLEh7qlCiYw4wmpTXMB3iohiSwrw&oe=62BB0CCF&_nc_sid=cff2a4', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,True,,,
3,17856867508669044,23121048970,Grow that fuel 😉😫,0,1577143067,1577143067,comment,Active,0,False,False,"{'pk': 23121048970, 'username': 'explorationobscura', 'full_name': 'Tyler O.', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/274908433_279498630942293_7189338765823270061_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=iyDpriJ6Z2YAX-zJED4&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_3w9dlHMy_h2bYSJV_cJ6H-Ny5k8ZjS1Lw57ctyFR_qg&oe=62BA5E60&_nc_sid=705020', 'profile_pic_id': '2783431163617726405_23121048970', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655959787, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
4,17859234481653406,21700821422,Exon you act eco but in Texas your making kids have asthma cmon reply if you think is weird and wrong,0,1577118721,1577118721,comment,Active,0,False,False,"{'pk': 21700821422, 'username': 'rooneyreviews', 'full_name': 'Josh', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/248583587_689258428718962_7632952335438857126_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=oAyHn_rPw0YAX-cbzme&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-MwnSutdjMuAC1ZNuJQxmAr8CFtFZ140ilgUOAc9TWYQ&oe=62BC1C0A&_nc_sid=705020', 'profile_pic_id': '2692701448113795719_21700821422', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
5,17869060822538326,3501202886,BZL,0,1576847082,1576847082,comment,Active,0,False,False,"{'pk': 3501202886, 'username': 'mehdi_moghadam.ir', 'full_name': 'مهدی\u200cمقدم', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/288751524_559262232450058_5991933072553876543_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=CnJ41UR8ik0AX_GVuct&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-N4I9NH3tktvSAmUspSUcOoOrMrdLsEWdodM9pRsOGjw&oe=62BA3FB6&_nc_sid=705020', 'profile_pic_id': '2864378302798400010_3501202886', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655980336, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
6,17874281170505905,3501202886,BUL,0,1576847074,1576847074,comment,Active,0,False,False,"{'pk': 3501202886, 'username': 'mehdi_moghadam.ir', 'full_name': 'مهدی\u200cمقدم', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/288751524_559262232450058_5991933072553876543_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=CnJ41UR8ik0AX_GVuct&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-N4I9NH3tktvSAmUspSUcOoOrMrdLsEWdodM9pRsOGjw&oe=62BA3FB6&_nc_sid=705020', 'profile_pic_id': '2864378302798400010_3501202886', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655980336, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
7,18017677459247752,5553693394,🔥🔥,0,1576432395,1576432395,comment,Active,0,False,False,"{'pk': 5553693394, 'username': 'eric.alvaa', 'full_name': 'Eric Alvarez', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/272647294_2062726517229866_597262927849813893_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=EbrpddBFkV8AX_65n7E&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-rnzqGxEtho-rEj92XJ-F-yuf5lcy0BAGopO2Mt8Yb6Q&oe=62BC099D&_nc_sid=705020', 'profile_pic_id': '2757914671417399457_5553693394', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
8,17923759327355626,25956066027,"3 Things Public, No ads, and dailymemes",0,1576425280,1576425280,comment,Active,0,False,False,"{'pk': 25956066027, 'username': 'ginrisu', 'full_name': '44', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/204704543_395593765257753_1201038218994244454_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=aZqwUq9hw_kAX8WMDVw&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-c3VB_W-pRh8pF-KB20XeMfsqnsqwZsqL4ERSLv9hxWw&oe=62BC12F7&_nc_sid=705020', 'profile_pic_id': '2600970116136244154_25956066027', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
9,18010358860268745,256412021,algae?,0,1576391802,1576391802,comment,Active,0,False,False,"{'pk': 256412021, 'username': 'kwylie_elvis', 'full_name': 'Kylie', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/288843470_155264660352337_2997735485656744589_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=BEaG1Q-u5voAX_lLyee&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9VsiZWSb8Je-tfTZ-CbkBD5_egVDWtA7YOXVbFE-6Atw&oe=62BC0117&_nc_sid=705020', 'profile_pic_id': '2864877109813641270_256412021', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
